CVE,DESCRIP
1,Menores de un año
2,De un año
3,De 2 años
4,De 3 años
5,De 4 años
6,De 5 a 9 años
7,De 10 a 14 años
8,De 15 a 19 años
9,De 20 a 24 años
10,De 25 a 29 años
11,De 30 a 34 años
12,De 35 a 39 años
13,De 40 a 44 años
14,De 45 a 49 años
15,De 50 a 54 años
16,De 55 a 59 años
17,De 60 a 64 años
18,De 65 a 69 años
19,De 70 a 74 años
20,De 75 a 79 años
21,De 80 a 84 años
22,De 85 a 89 años
23,De 90 a 94 años
24,De 95 a 99 años
25,De 100 a 104 años
26,De 105 a 109 años
27,De 110 a 114 años
28,De 115 a 119 años
29,De 120 años
30,Edad no  especificada
