CVE,DESCRIP
0,Cero minutos
1,Un minuto
2,Dos minutos
3,Tres minutos
4,Cuatro minutos
5,Cinco minutos
6,Seis minutos
7,Siete minutos
8,Ocho minutos
9,Nueve minutos
10,Diez minutos
11,Once minutos
12,Doce minutos
13,Trece minutos
14,Catorce minutos
15,Quince minutos
16,Dieciséis minutos
17,Diecisiete minutos
18,Dieciocho minutos
19,Diecinueve minutos
20,Veinte minutos
21,Veintiuno minutos
22,Veintidós minutos
23,Veintitrés minutos
24,Veinticuatro minutos
25,Veinticinco minutos
26,Veintiséis minutos
27,Veintisiete minutos
28,Veintiocho minutos
29,Veintinueve minutos
30,Treinta minutos
31,Treinta y uno minutos
32,Treinta y dos minutos
33,Treinta y tres minutos
34,Treinta y cuatro minutos
35,Treinta y cinco minutos
36,Treinta y seis minutos
37,Treinta y siete minutos
38,Treinta y ocho minutos
39,Treinta y nueve minutos
40,Cuarenta minutos
41,Cuarenta y uno minutos   
42,Cuarenta y dos minutos   
43,Cuarenta y tres minutos  
44,Cuarenta y cuatro minutos
45,Cuarenta y cinco minutos 
46,Cuarenta y seis minutos  
47,Cuarenta y siete minutos 
48,Cuarenta y ocho minutos  
49,Cuarenta y nueve minutos 
50,Cincuenta minutos
51,Cincuenta y uno minutos   
52,Cincuenta y dos minutos   
53,Cincuenta y tres minutos  
54,Cincuenta y cuatro minutos
55,Cincuenta y cinco minutos
56,Cincuenta y seis minutos  
57,Cincuenta y siete minutos 
58,Cincuenta y ocho minutos  
59,Cincuenta y nueve minutos
99,Minutos no especificado 
