CVE	DESCRIP
1900	Año 1900
1901	Año 1901
1902	Año 1902
1903	Año 1903
1904	Año 1904
1905	Año 1905
1906	Año 1906
1907	Año 1907
1908	Año 1908
1909	Año 1909
1910	Año 1910
1911	Año 1911
1912	Año 1912
1913	Año 1913
1914	Año 1914
1915	Año 1915
1916	Año 1916
1917	Año 1917
1918	Año 1918
1919	Año 1919
1920	Año 1920
1921	Año 1921
1922	Año 1922
1923	Año 1923
1924	Año 1924
1925	Año 1925
1926	Año 1926
1927	Año 1927
1928	Año 1928
1929	Año 1929
1930	Año 1930
1931	Año 1931
1932	Año 1932
1933	Año 1933
1934	Año 1934
1935	Año 1935
1936	Año 1936
1937	Año 1937
1938	Año 1938
1939	Año 1939
1940	Año 1940
1941	Año 1941
1942	Año 1942
1943	Año 1943
1944	Año 1944
1945	Año 1945
1946	Año 1946
1947	Año 1947
1948	Año 1948
1949	Año 1949
1950	Año 1950
1951	Año 1951
1952	Año 1952
1953	Año 1953
1954	Año 1954
1955	Año 1955
1956	Año 1956
1957	Año 1957
1958	Año 1958
1959	Año 1959
1960	Año 1960
1961	Año 1961
1962	Año 1962
1963	Año 1963
1964	Año 1964
1965	Año 1965
1966	Año 1966
1967	Año 1967
1968	Año 1968
1969	Año 1969
1970	Año 1970
1971	Año 1971
1972	Año 1972
1973	Año 1973
1974	Año 1974
1975	Año 1975
1976	Año 1976
1977	Año 1977
1978	Año 1978
1979	Año 1979
1980	Año 1980
1981	Año 1981
1982	Año 1982
1983	Año 1983
1984	Año 1984
1985	Año 1985
1986	Año 1986
1987	Año 1987
1988	Año 1988
1989	Año 1989
1990	Año 1990
1991	Año 1991
1992	Año 1992
1993	Año 1993
1994	Año 1994
1995	Año 1995
1996	Año 1996
1997	Año 1997
1998	Año 1998
1999	Año 1999
2000	Año 2000
2001	Año 2001
2002	Año 2002
2003	Año 2003
2004	Año 2004
2005	Año 2005
2006	Año 2006
2007	Año 2007
2008	Año 2008
2009	Año 2009
2010	Año 2010
2011	Año 2011
2012	Año 2012
2013	Año 2013
2014	Año 2014
2015	Año 2015
2016	Año 2016
9999	Año no especificado
