CVE,DESCRIP
100,Ciertas enfermedades infecciosas y parasitarias
101,Enfermedades infecciosas intestinales (A00-A09)
102,Tuberculosis  (A15-A19)
103,Ciertas zoonosis bacterianas (A20-A28)
104,Otras enfermedades bacterianas (A30-A49)
105,Infecciones con modo de transmisión predominantemente sexual (A50-A64)
106,Otras enfermedades debidas a espiroquetas (A65-A69)
107,Otras enfermedades causadas por clamidias (A70-A74)
108,Rickettsiosis (A75-A79)
109,Infecciones virales del sistema nervioso central (A80-A89)
110,Fiebres virales transmitidas por artrópodos y fiebres virales hemorrágicas (A90-A99)
111,Infecciones virales caracterizadas por lesiones de la piel y de las membranas mucosas (B00-B09)
112,Hepatitis viral (B15-B19)
113,Enfermedad por virus de la inmunodeficiencia humana (VIH) (B20-B24)
114,Otras enfermedades virales (B25-B34)
115,Micosis (B35-B49)
116,Enfermedades debidas a protozoarios (B50-B64)
117,Helmintiasis (B65-B83)
118,"Pediculosis, acariasis y otras infestaciones (B85-B89)"
119,Secuelas de enfermedades infecciosas y parasitarias (B90-B94)
120,"Bacterias, virus y otros agentes infecciosos (B95-B98)"
121,Otras enfermedades infecciosas (B99)
200,Tumores (neoplasias)
201,"Tumores malignos del labio, de la cavidad bucal y de la faringe (C00-C14)"
202,Tumores malignos de los órganos digestivos (C15-C26)
203,Tumores malignos de los órganos respiratorios e intratorácicos (C30-C39)
204,Tumores malignos de los huesos y de los cartílagos articulares (C40-C41)
205,Melanoma y otros tumores malignos de la piel (C43-C44)
206,Tumores malignos de los tejidos mesoteliales y de los tejidos blandos (C45-C49)
207,Tumor maligno de la mama (C50)
208,Tumores malignos de los órganos genitales femeninos (C51-C58)
209,Tumores malignos de los órganos genitales masculinos (C60-C63)
210,Tumores malignos de las vías urinarias (C64-C68)
211,"Tumores malignos del ojo, del encéfalo y de otras partes del sistema nervioso central (C69-C72)"
212,Tumores malignos de la glándula tiroides y de otras glándulas endocrinas (C73-C75)
213,"Tumores (neoplasias) malignos de sitios mal definidos, secundarios y de sitios no especificados (C76-C80)"
214,"Tumores (neoplasias) malignos del tejido linfático, de los órganos hematopoyéticos y de tejidos afines (C81-C96)"
215,Tumores (neoplasias) malignos (primarios) de sitios múltiples independientes (C97)
216,Tumores (neoplasias) in situ (D00-D09)
217,Tumores (neoplasias) benignos (D10-D36)
218,Tumores (neoplasias) de comportamiento incierto o desconocido (D37-D48)
300,"Enfermedades de la sangre y de los órganos hematopoyéticos, y ciertos trastornos que afectan el mecanismo de la inmunidad"
301,Anemias nutricionales (D50-D53)
302,Anemias hemolíticas (D55-D59)
303,Anemias aplásticas y otras anemias (D60-D64)
304,"Defectos de la coagulación, púrpura y otras afecciones hemorrágicas (D65-D69)"
305,Otras enfermedades de la sangre y de los órganos hematopoyéticos (D70-D77)
306,Ciertos trastornos que afectan el mecanismo de la inmunidad (D80-D89)
400,"Enfermedades endocrinas, nutricionales y metabólicas"
401,Trastornos de la glándula tiroides (E00-E07)
402,Diabetes mellitus (E10-E14)
403,Otros trastornos de la regulación de la glucosa y de la secreción interna del páncreas (E15-E16)
404,Trastornos de otras glándulas endocrinas (E20-E35)
405,Desnutrición (E40-E46)
406,Otras deficiencias nutricionales (E50-E64)
407,Obesidad y otros tipos de hiperalimentación (E65-E68)
408,Trastornos metabólicos (E70-E90)
500,Trastornos mentales y del comportamiento
501,"Trastornos mentales orgánicos, incluidos los trastornos sintomáticos (F00-F09)"
502,Trastornos mentales y del comportamiento debidos al uso de sustancias psicoactivas (F10-F19)
503,"Esquizofrenia, trastornos esquizotípicos y trastornos delirantes (F20-F29)"
504,Trastornos del  humor (afectivos) (F30-F39)
505,"Trastornos neuróticos, trastornos relacionados con el estrés y trastornos somatomorfos (F40-F48)"
506,Síndromes del comportamiento asociados con alteraciones fisiológicas y factores físicos (F50-F59)
507,Trastornos de la personalidad y del comportamiento en adultos (F60-F69)
508,Retraso mental (F70-F79)
