CVE,DESCRIP
A000,"Cólera debido a Vibrio cholerae 01, biotipo cholerae"
A001,"Cólera debido a Vibrio cholerae 01, biotipo el Tor"
A009,"Cólera, no especificado"
A010,Fiebre tifoidea
A011,Fiebre paratifoidea A
A012,Fiebre paratifoidea B
A013,Fiebre paratifoidea C
A014,"Fiebre paratifoidea, no especificada"
A020,Enteritis debida a Salmonella
A021,Sepsis debida a Salmonella
A022,Infecciones localizadas debidas a Salmonella
A028,Otras infecciones especificadas como debidas a Salmonella
A029,"Infección debida a Salmonella, no especificada"
A030,Shigelosis debida a Shigella dysenteriae
A031,Shigelosis debida a Shigella flexneri
A032,Shigelosis debida a Shigella boydii
A033,Shigelosis debida a Shigella sonnei
A038,Otras shigelosis
A039,Shigelosis de tipo no especificado
A040,Infección debida a Escherichia coli enteropatógena
A041,Infección debida a Escherichia coli enterotoxígena
A042,Infección debida a Escherichia coli enteroinvasiva
A043,Infección debida a Escherichia coli enterohemorrágica
A044,Otras infecciones intestinales debidas a Escherichia coli
A045,Enteritis debida a Campylobacter
A046,Enteritis debida a Yersinia enterocolitica
A047,Enterocolitis debida a Clostridium difficile
A048,Otras infecciones intestinales bacterianas especificadas
A049,"Infección intestinal bacteriana, no especificada"
A050,Intoxicación alimentaria estafilocócica
A051,Botulismo
A052,Intoxicación alimentaria debida a Clostridium perfringens [Clostridium welchii]
A053,Intoxicación alimentaria debida a Vibrio parahaemolyticus
A054,Intoxicación alimentaria debida a Bacillus cereus
A058,Otras intoxicaciones alimentarias debidas a bacterias especificadas
A059,"Intoxicación alimentaria bacteriana, no especificada"
A060,Disentería amebiana aguda
A061,Amebiasis intestinal crónica
A062,Colitis amebiana no disentérica
A063,Ameboma intestinal
A064,Absceso amebiano del hígado
A065,Absceso amebiano del pulmón
A066,Absceso amebiano del cerebro
A067,Amebiasis cutánea
A068,Infección amebiana de otras localizaciones
A069,"Amebiasis, no especificada"
A070,Balantidiasis
A071,Giardiasis (lambliasis)
A072,Criptosporidiosis
A073,Isosporiasis
A078,Otras enfermedades intestinales especificadas debidas a protozoarios
A079,"Enfermedad intestinal debida a protozoarios, no especificada"
A080,Enteritis debida a rotavirus
A081,Gastroenteropatía aguda debida al agente de Norwalk
A082,Enteritis debida a adenovirus
A083,Otras enteritis virales
A084,"Infección intestinal viral, sin otra especificación"
A085,Otras infecciones intestinales especificadas
A090,Otras gastroenteritis y colitis de origen infeccioso
A099,Gastroenteritis y colitis de origen no especificado
A09X,Diarrea y gastroenteritis de presunto oriegen infeccioso
A150,"Tuberculosis del pulmón, confirmada por hallazgo microscópico del bacilo tuberculoso en esputo, con o sin cultivo"
A151,"Tuberculosis del pulmón, confirmada únicamente por cultivo"
A152,"Tuberculosis del pulmón, confirmada histológicamente"
A153,"Tuberculosis del pulmón, confirmada por medios no especificados"
A154,"Tuberculosis de ganglios linfáticos intratorácicos, confirmada bacteriológica e histológicamente"
A155,"Tuberculosis de laringe, traquea y bronquios, confirmada bacteriológica e histológicamente"
A156,"Pleuresía tuberculosa, confirmada bacteriológica e histológicamente"
A157,"Tuberculosis respiratoria primaria, confirmada bacteriológica e histológicamente"
A158,"Otras tuberculosis respiratorias, confirmadas bacteriológica e histológicamente"
A159,"Tuberculosis respiratoria no especificada, confirmada bacteriológica e histológicamente"
A160,"Tuberculosis del pulmón, con examen bacteriológico e histológico negativos"
A161,"Tuberculosis de pulmón, sin examen bacteriológico e histológico"
A162,"Tuberculosis de pulmón, sin mención de confirmación bacteriológica o histológica"
A163,"Tuberculosis de ganglios linfáticos intratorácicos, sin mención de confirmación bacteriológica o histológica"
A164,"Tuberculosis de laringe, traquea y bronquios, sin mención de confirmación bacteriológica o histológica"
A165,"Pleuresía tuberculosa, sin mención de confirmación bacteriológica o histológica"
A167,"Tuberculosis respiratoria primaria, sin mención de confirmación bacteriológica o histológica"
A168,"Otras tuberculosis respiratorias, sin mención de confirmación"
A169,"Tuberculosis respiratoria no especificada, sin mención de confirmación bacteriológica o histológica"
A170,Meningitis tuberculosa
A171,Tuberculoma meníngeo
A178,Otras tuberculosis del sistema nervioso
A179,"Tuberculosis del sistema nervioso, no especificada"
A180,Tuberculosis de huesos y articulaciones
A181,Tuberculosis del aparato genitourinario
A182,Linfadenopatía periférica tuberculosa
A183,"Tuberculosis de los intestinos, el peritoneo y los ganglios mesentéricos"
A184,Tuberculosis de la piel y el tejido subcutáneo
A185,Tuberculosis del ojo
A186,Tuberculosis del oído
A187,Tuberculosis de glándulas suprarrenales
A188,Tuberculosis de otros órganos especificados
A190,Tuberculosis miliar aguda de un solo sitio especificado
A191,Tuberculosis miliar aguda de sitios múltiples
A192,"Tuberculosis miliar aguda, no especificada"
A198,Otras tuberculosis miliares
A199,"Tuberculosis miliar, sin otra especificación"
A200,Peste bubónica
A201,Peste celulocutánea
A202,Peste neumónica
A203,Meningitis por peste
A207,Peste septicémica
A208,Otras formas de peste
A209,"Peste, no especificada"
A210,Tularemia ulceroglandular
A211,Tularemia oculoglandular
A212,Tularemia pulmonar
A213,Tularemia gastrointestinal
A217,Tularemia generalizada
A218,Otras formas de tularemia
A219,"Tularemia, no especificada"
A220,Carbunco cutáneo
A221,Carbunco pulmonar
A222,Carbunco gastrointestinal
A227,Carbunco séptico
A228,Otras formas de carbunco
A229,"Carbunco, no especificado"
A230,Brucelosis debida a Brucella melitensis
A231,Brucelosis debida a Brucella abortus
A232,Brucelosis debida a Brucella suis
A233,Brucelosis debida a Brucella canis
A238,Otras brucelosis
A239,"Brucelosis, no especificada"
A240,Muermo
A241,Melioidosis aguda y fulminante
A242,Melioidosis subaguda y crónica
A243,Otras melioidosis
A244,"Melioidosis, no especificada"
A250,Espirilosis
A251,Estreptobacilosis
A259,"Fiebre por mordedura de rata, no especificada"
A260,Erisipeloide cutáneo
A267,Sepsis por Erysipelothrix
A268,Otras formas de erisipeloide
A269,"Erisipeloide, no especificada"
A270,Leptospirosis icterohemorrágica
A278,Otras formas de leptospirosis
A279,"Leptospirosis, no especificada"
A280,Pasteurelosis
A281,Enfermedad por rasguño de gato
A282,Yersiniosis extraintestinal
A288,"Otras enfermedades zoonóticas bacterianas especificadas, no clasificadas en otra parte"
A289,"Enfermedad zoonótica bacteriana, sin otra especificación"
A300,Lepra indeterminada
A301,Lepra tuberculoide
A302,Lepra tuberculoide limítrofe
A303,Lepra limítrofe
A304,Lepra lepromatosa limítrofe
A305,Lepra lepromatosa
A308,Otras formas de lepra
A309,"Lepra, no especificada"
