cve_ent,cve_mun,cve_loc,nom_loc
"01	","000	","0000	","Aguascalientes"
"01	","001	","0000	","Aguascalientes"
"01	","001	","0001	","Aguascalientes"
"01	","001	","0106	","Arellano"
"01	","001	","0120	","Buenavista de Peñuelas"
"01	","001	","0125	","Cañada Grande de Cotorina"
"01	","001	","0127	","Los Caños"
"01	","001	","0138	","Centro de Arriba (El Taray)"
"01	","001	","0139	","Cieneguilla (La Lumbrera)"
"01	","001	","0146	","El Conejal"
"01	","001	","0237	","Jaltomate"
"01	","001	","0239	","General José María Morelos y Pavón (Cañada Honda)"
"01	","001	","0256	","La Loma de los Negritos"
"01	","001	","0285	","Montoro"
"01	","001	","0292	","El Niágara"
"01	","001	","0293	","Norias de Ojocaliente"
"01	","001	","0296	","El Ocote"
"01	","001	","0315	","Peñuelas (El Cienegal)"
"01	","001	","0345	","El Refugio de Peñuelas"
"01	","001	","0357	","Norias del Paso Hondo"
"01	","001	","0367	","San Antonio de Peñuelas"
"01	","001	","0379	","San Ignacio"
"01	","001	","0429	","Santa María de Gallardo"
"01	","001	","0479	","Villa Licenciado Jesús Terán (Calvillito)"
"01	","001	","0764	","San Francisco del Arenal"
"01	","001	","0863	","Cotorina (Coyotes)"
"01	","001	","1011	","Ojo de Agua"
"01	","001	","1025	","Pocitos"
"01	","001	","2015	","La Alcaparra"
"01	","001	","2050	","Cumbres III"
"01	","001	","2074	","Granja Guadalupe"
"01	","001	","2369	","San Sebastián [Fraccionamiento]"
"01	","001	","2429	","Pozo Bravo [Rancho]"
"01	","001	","7777	","Cifra confidencial. Establecido en la Ley del SNIEG."
"01	","001	","9999	","Localidad no especificada"
"01	","002	","0000	","Asientos"
"01	","002	","0001	","Asientos"
"01	","002	","0002	","Las Adjuntas"
"01	","002	","0003	","Licenciado Adolfo López Mateos"
"01	","002	","0005	","Amarillas de Esparza"
"01	","002	","0007	","Bimbaletes Aguascalientes (El Álamo)"
"01	","002	","0009	","Emancipación (Borunda) [Colonia]"
"01	","002	","0011	","Ciénega Grande"
"01	","002	","0012	","Clavellinas"
"01	","002	","0014	","Crisóstomos"
"01	","002	","0017	","La Dichosa"
"01	","002	","0021	","Las Fraguas"
"01	","002	","0025	","Guadalupe de Atlas"
"01	","002	","0030	","Lázaro Cárdenas"
"01	","002	","0033	","Molinos"
"01	","002	","0039	","Pilotos"
"01	","002	","0040	","Pino Suárez (Rancho Viejo)"
"01	","002	","0041	","El Polvo"
"01	","002	","0048	","San José del Río"
"01	","002	","0051	","San Rafael de Ocampo"
"01	","002	","0058	","El Tule"
"01	","002	","0059	","Villa Juárez"
"01	","002	","0060	","Viudas de Poniente"
"01	","002	","0128	","San José del Tulillo"
"01	","002	","7777	","Cifra confidencial. Establecido en la Ley del SNIEG."
"01	","002	","9999	","Localidad no especificada"
"01	","003	","0000	","Calvillo"
"01	","003	","0001	","Calvillo"
"01	","003	","0021	","El Cuervero (Cuerveros)"
"01	","003	","0024	","Chiquihuitero (San Isidro)"
"01	","003	","0033	","Jaltiche de Arriba"
"01	","003	","0036	","La Labor"
"01	","003	","0043	","Malpaso"
"01	","003	","0047	","Mesa Grande"
"01	","003	","0055	","Ojocaliente"
"01	","003	","0057	","Ojo de Agua"
"01	","003	","0069	","Presa de los Serna"
"01	","003	","0074	","La Rinconada"
"01	","003	","0079	","El Salitre"
"01	","003	","0084	","San Tadeo"
"01	","003	","0090	","Temazcal"
"01	","003	","0094	","La Teresa"
"01	","003	","0095	","El Terrero de la Labor"
"01	","003	","0110	","Crucero las Pilas"
"01	","003	","0222	","Valle Huejúcar [Fraccionamiento Popular]"
"01	","003	","0381	","Licenciado Adolfo López Mateos [Colonia]"
"01	","003	","0382	","La Fortuna"
"01	","003	","7777	","Cifra confidencial. Establecido en la Ley del SNIEG."
"01	","003	","9999	","Localidad no especificada"
"01	","004	","0000	","Cosío"
"01	","004	","0001	","Cosío"
"01	","004	","0025	","El Refugio de Providencia (Providencia)"
"01	","004	","0026	","La Punta"
"01	","004	","0028	","El Refugio de Agua Zarca"
"01	","004	","0030	","El Salero"
"01	","004	","0032	","Santa María de la Paz"
"01	","004	","0033	","Soledad de Abajo [Estación de Adames]"
"01	","004	","0034	","Soledad de Arriba"
"01	","004	","0101	","Mexiquito"
"01	","004	","7777	","Cifra confidencial. Establecido en la Ley del SNIEG."
"01	","004	","9999	","Localidad no especificada"
"01	","005	","0000	","Jesús María"
"01	","005	","0001	","Jesús María"
"01	","005	","0007	","Los Arquitos"
"01	","005	","0023	","Corral de Barrancos"
"01	","005	","0033	","General Ignacio Zaragoza (Venadero)"
"01	","005	","0040	","Las Jaulas"
"01	","005	","0041	","Jesús Gómez Portugal (Margaritas)"
"01	","005	","0043	","La Loma de Valladolid"
"01	","005	","0050	","Maravillas"
"01	","005	","0066	","Paso Blanco"
"01	","005	","0084	","San Antonio de los Horcones"
"01	","005	","0104	","Tapias Viejas"
"01	","005	","0105	","Tepetates"
"01	","005	","0106	","La Tomatina"
"01	","005	","0109	","Valladolid"
"01	","005	","0248	","Milpillas de Abajo"
"01	","005	","0413	","Miravalle [Granja]"
"01	","005	","0434	","Escalera (La Lagunita) [Colonia]"
"01	","005	","0468	","Arboledas Paso Blanco [Fraccionamiento]"
"01	","005	","7777	","Cifra confidencial. Establecido en la Ley del SNIEG."
"01	","005	","9999	","Localidad no especificada"
"01	","006	","0000	","Pabellón de Arteaga"
"01	","006	","0001	","Pabellón de Arteaga"
"01	","006	","0002	","Las Ánimas"
"01	","006	","0005	","Gámez Orozco (Puerta de Carboneras) [Colonia]"
"01	","006	","0007	","Emiliano Zapata"
"01	","006	","0040	","San Luis de Letras"
"01	","006	","0045	","Santiago"
"01	","006	","0233	","San Carlos [Fraccionamiento Campestre]"
"01	","006	","7777	","Cifra confidencial. Establecido en la Ley del SNIEG."
"01	","006	","9999	","Localidad no especificada"
"01	","007	","0000	","Rincón de Romos"
"01	","007	","0001	","Rincón de Romos"
"01	","007	","0006	","El Bajío"
"01	","007	","0018	","Pablo Escaleras"
"01	","007	","0020	","Fresnillo"
"01	","007	","0030	","Pabellón de Hidalgo"
"01	","007	","0040	","San Jacinto"
"01	","007	","0041	","San Juan de la Natura"
"01	","007	","0043	","El Saucillo"
"01	","007	","0044	","El Valle de las Delicias"
"01	","007	","0224	","San José [Rancho]"
"01	","007	","7777	","Cifra confidencial. Establecido en la Ley del SNIEG."
"01	","007	","9999	","Localidad no especificada"
"01	","008	","0000	","San José de Gracia"
"01	","008	","0001	","San José de Gracia"
"01	","008	","0018	","Paredes"
"01	","008	","0022	","Rancho Viejo"
"01	","008	","0023	","San Antonio de los Ríos"
"01	","008	","7777	","Cifra confidencial. Establecido en la Ley del SNIEG."
"01	","008	","9999	","Localidad no especificada"
"01	","009	","0000	","Tepezalá"
"01	","009	","0001	","Tepezalá"
"01	","009	","0004	","Los Alamitos"
"01	","009	","0012	","El Chayote"
"01	","009	","0013	","El Gigante"
"01	","009	","0015	","Mesillas"
"01	","009	","0016	","Ojo de Agua de los Montes"
"01	","009	","0019	","El Porvenir"
"01	","009	","0022	","Puerto de la Concepción"
"01	","009	","0024	","El Refugio"
"01	","009	","0025	","San Antonio"
"01	","009	","7777	","Cifra confidencial. Establecido en la Ley del SNIEG."
"01	","009	","9999	","Localidad no especificada"
"01	","010	","0000	","El Llano"
"01	","010	","0001	","Palo Alto"
"01	","010	","0018	","Los Conos"
"01	","010	","0039	","Licenciado Jesús Terán (El Muerto)"
"01	","010	","0042	","La Luz"
"01	","010	","0049	","El Milagro"
"01	","010	","0057	","El Novillo"
"01	","010	","0058	","Ojo de Agua de Crucitas"
"01	","010	","0074	","El Retoño"
"01	","010	","0083	","San Francisco de los Viveros"
"01	","010	","0100	","Santa Clara (Las Mieleras)"
"01	","010	","0107	","Santa Rosa (El Huizache)"
"01	","010	","0119	","La Tinaja"
"01	","010	","7777	","Cifra confidencial. Establecido en la Ley del SNIEG."
"01	","010	","9999	","Localidad no especificada"
"01	","011	","0000	","San Francisco de los Romo"
"01	","011	","0001	","San Francisco de los Romo"
"01	","011	","0011	","Macario J. Gómez [Colonia]"
"01	","011	","0042	","Loretito (Charco del Toro)"
"01	","011	","0053	","Puertecito de la Virgen"
"01	","011	","0128	","Ex-Viñedos Guadalupe"
"01	","011	","7777	","Cifra confidencial. Establecido en la Ley del SNIEG."
"01	","011	","9999	","Localidad no especificada"
"01	","999	","0000	","Municipio no especificado"
"01	","999	","9999	","Localidad no especificada"
"02	","000	","0000	","Baja California"
"02	","001	","0000	","Ensenada"
"02	","001	","0001	","Ensenada"
"02	","001	","0046	","Bahía de los Ángeles"
"02	","001	","0060	","Camalú"
"02	","001	","0095	","Ejido Eréndira"
"02	","001	","0114	","Francisco Zarco (Valle de Guadalupe)"
"02	","001	","0118	","Licenciado Gustavo Díaz Ordaz"
"02	","001	","0124	","Isla de Cedros"
"02	","001	","0133	","Lázaro Cárdenas"
"02	","001	","0139	","Rodolfo Sánchez Taboada (Maneadero)"
"02	","001	","0151	","La Misión"
"02	","001	","0184	","Coronel Esteban Cantú"
"02	","001	","0186	","Ejido México (Punta Colonet)"
"02	","001	","0190	","Real del Castillo Nuevo (Ojos Negros)"
"02	","001	","0198	","El Rosario de Arriba"
"02	","001	","0242	","Santo Tomás"
"02	","001	","0243	","San Vicente"
"02	","001	","0247	","El Sauzal de Rodríguez"
"02	","001	","0268	","Vicente Guerrero"
"02	","001	","0271	","Villa de Juárez (San Antonio de las Minas)"
"02	","001	","0598	","Nuevo Uruapan"
"02	","001	","0617	","El Porvenir (Guadalupe)"
"02	","001	","0660	","Punta Prieta"
"02	","001	","0838	","Valle de la Trinidad"
"02	","001	","0842	","Ejido Villa Jesús María"
"02	","001	","0857	","San Quintín"
"02	","001	","0935	","Lázaro Cárdenas (Valle de la Trinidad)"
"02	","001	","1001	","Cataviña"
"02	","001	","1107	","Emiliano Zapata"
"02	","001	","2224	","Punta Banda (El Rincón de Punta Banda)"
"02	","001	","2465	","El Rosario"
"02	","001	","2485	","San Antonio de las Minas"
"02	","001	","4733	","Ejido Ruiz Cortínez"
"02	","001	","7777	","Cifra confidencial. Establecido en la Ley del SNIEG."
"02	","001	","9999	","Localidad no especificada"
"02	","002	","0000	","Mexicali"
"02	","002	","0001	","Mexicali"
"02	","002	","0110	","Colonia Venustiano Carranza (La Carranza)"
"02	","002	","0111	","Vicente Guerrero (Algodones)"
"02	","002	","0127	","Ejido Tabasco"
"02	","002	","0137	","Miguel Hidalgo y Costilla (Colonia Cinco Cerro Prieto)"
"02	","002	","0141	","Ejido Tamaulipas (Estación Cucapah)"
"02	","002	","0143	","Ejido Colima 1"
"02	","002	","0151	","Ejido Cucapah Mestizo"
"02	","002	","0152	","Ejido Cucapah Indígena"
"02	","002	","0157	","Ejido Chiapas 1"
"02	","002	","0159	","Delta (Estación Delta)"
"02	","002	","0161	","Ejido Monterrey (Colonia Batáquez)"
"02	","002	","0166	","Veracruz Uno"
"02	","002	","0167	","Ejido Distrito Federal"
"02	","002	","0169	","Ejido Durango"
"02	","002	","0183	","Ejido Guadalajara"
"02	","002	","0185	","Ciudad Guadalupe Victoria (Kilómetro Cuarenta y Tres)"
"02	","002	","0186	","Ejido Guanajuato"
"02	","002	","0189	","Ejido Vicente Guerrero"
"02	","002	","0192	","Ejido Hermosillo"
"02	","002	","0195	","Ejido Miguel Hidalgo"
"02	","002	","0201	","Islas Agrarias Grupo B"
"02	","002	","0202	","Ejido Jalapa"
"02	","002	","0204	","Poblado Janitzio"
"02	","002	","0206	","Ejido Jiquilpan"
"02	","002	","0210	","Colonia Ladrillera"
"02	","002	","0211	","Ejido Lázaro Cárdenas (La Mosca)"
"02	","002	","0212	","Poblado Lázaro Cárdenas (La Veintiocho)"
"02	","002	","0225	","Michoacán de Ocampo"
"02	","002	","0227	","Ejido Sinaloa (Estación Kasey)"
"02	","002	","0229	","Islas Agrarias Grupo A"
"02	","002	","0231	","Ciudad Morelos (Cuervos)"
"02	","002	","0234	","Nayarit Llamada"
"02	","002	","0237	","Nuevo León"
"02	","002	","0242	","Ejido Yucatán"
"02	","002	","0248	","Ejido Pachuca"
"02	","002	","0251	","Ejido Pátzcuaro"
"02	","002	","0253	","Ejido Toluca"
"02	","002	","0256	","Estación Pescaderos (Kilómetro Treinta y Nueve)"
"02	","002	","0257	","Villa Hermosa"
"02	","002	","0258	","Ejido Plan de Ayala"
"02	","002	","0260	","Progreso"
"02	","002	","0262	","Puebla"
"02	","002	","0265	","Poblado Puente Treviño"
"02	","002	","0266	","Colonia la Puerta"
"02	","002	","0268	","Ejido Hechicera"
"02	","002	","0270	","Ejido Quintana Roo"
"02	","002	","0275	","Ejido Tlaxcala"
"02	","002	","0282	","Ejido Saltillo"
"02	","002	","0284	","San Felipe"
"02	","002	","0289	","Santa Isabel"
"02	","002	","0290	","Ejido Mérida"
"02	","002	","0291	","Ejido Sonora"
"02	","002	","0295	","Ejido San Luis Potosí"
"02	","002	","0311	","Colonia José María Rodríguez Mérida (La Panga)"
"02	","002	","0320	","Compuertas Ocho del Tule Check (Sección Dos)"
"02	","002	","0358	","Poblado Alfredo V. Bonfil"
"02	","002	","0362	","Ejido el Marítimo"
"02	","002	","0378	","Jesús Sansón Flores"
"02	","002	","0394	","Ricardo Mazón Guerrero (Colonia Baja California el Polvorín)"
"02	","002	","0395	","Francisco Murguía (Kilómetro Cuarenta y Nueve)"
"02	","002	","0456	","Benito Juárez (Ejido Tecolotes)"
"02	","002	","0459	","Poblado Paredones"
"02	","002	","0461	","Ciudad Coahuila (Kilómetro Cincuenta y Siete)"
"02	","002	","0510	","Ejido Hipólito Rentería"
"02	","002	","0513	","Ejido Irapuato"
"02	","002	","0521	","Poblado Francisco Santana Peralta"
"02	","002	","1121	","Ejido Heriberto Jara Sección Coronita"
"02	","002	","1181	","Ejido Mezquital"
"02	","002	","1195	","Ejido Doctor Alberto Oviedo Mota (El Indiviso)"
"02	","002	","1255	","El Refugio (Colonia Silva el Ombligo)"
"02	","002	","1269	","Santo Niño"
"02	","002	","1273	","Ejido Tehuantepec (Santa Rosa)"
"02	","002	","1284	","Ejido Veracruz Dos"
"02	","002	","1331	","Mesa Arenosa de Andrade (Villa Zapata)"
"02	","002	","1369	","Colonia Miguel Alemán"
"02	","002	","1389	","Ejido Benito Juárez"
"02	","002	","1567	","Ejido Chiapas 2"
"02	","002	","2135	","Familia González (Ejido Querétaro)"
"02	","002	","3032	","Poblado Sombrerete"
"02	","002	","4689	","Colonia Río Hardy"
"02	","002	","4722	","Colonia Zaragoza"
"02	","002	","4925	","Renacimiento del Valle"
"02	","002	","7777	","Cifra confidencial. Establecido en la Ley del SNIEG."
"02	","002	","9999	","Localidad no especificada"
"02	","003	","0000	","Tecate"
"02	","003	","0001	","Tecate"
"02	","003	","0065	","Ejido Jacumé"
"02	","003	","0089	","Paso del Águila"
"02	","003	","0107	","La Rumorosa"
"02	","003	","0139	","Valle de las Palmas"
"02	","003	","0155	","Luis Echeverría Álvarez (El Hongo)"
"02	","003	","0340	","Nueva Colonia Hindú"
"02	","003	","0775	","El Rincón"
"02	","003	","0907	","El Refugio"
"02	","003	","0992	","Maclovio Herrera (Colonia Aviación)"
"02	","003	","1131	","Santa Anita"
"02	","003	","1569	","Cereso del Hongo"
"02	","003	","1570	","El Mirador"
"02	","003	","1573	","Lomas de Santa Anita"
"02	","003	","1603	","Hacienda Tecate"
"02	","003	","1605	","El Paraíso"
"02	","003	","7777	","Cifra confidencial. Establecido en la Ley del SNIEG."
"02	","003	","9999	","Localidad no especificada"
"02	","004	","0000	","Tijuana"
"02	","004	","0001	","Tijuana"
"02	","004	","0178	","Rancho Escondido"
"02	","004	","0187	","La Joya"
"02	","004	","0272	","El Centro"
"02	","004	","0283	","San Luis"
"02	","004	","0298	","El Florido"
"02	","004	","0311	","El Mirador"
"02	","004	","0326	","Rancho Casián"
"02	","004	","0381	","Las Delicias"
"02	","004	","0571	","Los Laureles"
"02	","004	","0577	","El Monte"
"02	","004	","0679	","La Esperanza [Granjas Familiares]"
"02	","004	","0720	","Ejido Ojo de Agua"
"02	","004	","0723	","Maclovio Rojas"
"02	","004	","0725	","Buenos Aires"
"02	","004	","0735	","San Francisco"
"02	","004	","0742	","Hacienda los Venados"
"02	","004	","1004	","Xicoténcatl Dos"
"02	","004	","1053	","Terrazas del Valle"
"02	","004	","1060	","Valle Bonito"
"02	","004	","1260	","Las Glorias"
"02	","004	","1282	","Aguaje de la Tuna [Cuartel Militar]"
"02	","004	","1301	","Buena Vista [Establo]"
"02	","004	","1338	","La Presa"
"02	","004	","1382	","Las Palmas"
"02	","004	","1415	","El Carrizo"
"02	","004	","1421	","Parajes del Valle"
"02	","004	","1435	","El Valle"
"02	","004	","1449	","La Esperanza"
"02	","004	","1467	","Los Arenales"
"02	","004	","1599	","Pórticos de San Antonio"
"02	","004	","1604	","La Morita"
"02	","004	","1614	","Ejido Javier Rojo Gómez"
"02	","004	","1615	","El Niño"
"02	","004	","1616	","Lomas del Valle"
"02	","004	","1622	","Colinas del Sol"
"02	","004	","1624	","El Refugio"
"02	","004	","1626	","Cañada Verde"
"02	","004	","1627	","El Dorado"
"02	","004	","1643	","Los Altos"
"02	","004	","1763	","Colinas del Florido"
"02	","004	","1776	","Pórticos la Gloria"
"02	","004	","1778	","Ejido Lázaro Cárdenas"
"02	","004	","1781	","Villa del Prado Segunda Sección"
"02	","004	","1783	","Los Olivos"
"02	","004	","1800	","Santa Fe"
"02	","004	","1807	","La Rinconada"
"02	","004	","1856	","Quinta del Cedro"
"02	","004	","1864	","Chula Vista"
"02	","004	","1868	","El Porvenir"
"02	","004	","1881	","Los Valles"
"02	","004	","1883	","Villa del Campo"
"02	","004	","1903	","Villa del Prado"
"02	","004	","1928	","Villa del Álamo"
"02	","004	","1929	","Natura"
"02	","004	","1931	","Palma Real"
"02	","004	","1954	","Miguel Alemán"
"02	","004	","1971	","El Castillo"
"02	","004	","1977	","Valle de las Palmas [Etapa 1]"
"02	","004	","7777	","Cifra confidencial. Establecido en la Ley del SNIEG."
"02	","004	","9999	","Localidad no especificada"
"02	","005	","0000	","Playas de Rosarito"
"02	","005	","0001	","Playas de Rosarito"
"02	","005	","0002	","Alisitos"
"02	","005	","0076	","El Morro"
"02	","005	","0088	","Ampliación Ejido Plan Libertador"
"02	","005	","0089	","Primo Tapia"
"02	","005	","0213	","Colinas del Sol"
"02	","005	","0224	","Lomas de Rosarito"
"02	","005	","0230	","Vista Marina"
"02	","005	","7777	","Cifra confidencial. Establecido en la Ley del SNIEG."
"02	","005	","9999	","Localidad no especificada"
"02	","999	","0000	","Municipio no especificado"
"02	","999	","9999	","Localidad no especificada"
"03	","000	","0000	","Baja California Sur"
"03	","001	","0000	","Comondú"
"03	","001	","0001	","Ciudad Constitución"
"03	","001	","0003	","Puerto Adolfo López Mateos"
"03	","001	","0035	","Benito Juárez"
"03	","001	","0049	","Las Barrancas"
"03	","001	","0133	","Ciudad Insurgentes"
"03	","001	","0193	","Palo Bola"
"03	","001	","0244	","La Purísima"
"03	","001	","0280	","Puerto San Carlos"
"03	","001	","0291	","San Isidro"
"03	","001	","0335	","Santo Domingo"
"03	","001	","0379	","Villa Hidalgo"
"03	","001	","0380	","Villa Morelos"
"03	","001	","0387	","Villa Ignacio Zaragoza"
"03	","001	","0390	","Ley Federal de Aguas Número Uno"
"03	","001	","0391	","Ley Federal de Aguas Número Dos"
"03	","001	","2086	","San Juanico"
"03	","001	","7777	","Cifra confidencial. Establecido en la Ley del SNIEG."
"03	","001	","9999	","Localidad no especificada"
"03	","002	","0000	","Mulegé"
"03	","002	","0001	","Santa Rosalía"
"03	","002	","0014	","Bahía Asunción"
"03	","002	","0015	","Bahía Tortugas"
