causa_def,cond_resp
A000,0
A001,0
A009,0
A010,0
A011,0
A012,0
A013,0
A014,0
A020,0
A021,0
A022,0
A028,0
A029,0
A030,0
A031,0
A032,0
A033,0
A038,0
A039,0
A040,0
A041,0
A042,0
A043,0
A044,0
A045,0
A046,0
A047,0
A048,0
A049,0
A050,0
A051,0
A052,0
A053,0
A054,0
A058,0
A059,0
A060,0
A061,0
A062,0
A063,0
A064,0
A065,1
A066,0
A067,0
A068,0
A069,0
A070,0
A071,0
A072,0
A073,0
A078,0
A079,0
A080,0
A081,0
A082,0
A083,0
A084,0
A085,0
A090,0
A099,0
A09X,0
A150,1
A151,1
A152,1
A153,1
A154,0
A155,1
A156,0
A157,1
A158,1
A159,1
A160,1
A161,1
A162,1
A163,0
A164,1
A165,0
A167,1
A168,1
A169,1
A170,0
A171,0
A178,0
A179,0
A180,0
A181,0
A182,0
A183,0
A184,0
A185,0
A186,0
A187,0
A188,0
A190,0
A191,0
A192,0
A198,0
A199,0
A200,0
A201,0
A202,0
A203,0
A207,0
A208,0
A209,0
A210,0
A211,0
A212,1
A213,0
A217,0
A218,0
A219,0
A220,0
A221,1
A222,0
A227,0
A228,0
A229,0
A230,0
A231,0
A232,0
A233,0
A238,0
A239,0
A240,0
A241,0
A242,0
A243,0
A244,0
A250,0
A251,0
A259,0
A260,0
A267,0
A268,0
A269,0
A270,0
A278,0
A279,0
A280,0
A281,0
A282,0
A288,0
A289,0
A300,0
A301,0
A302,0
A303,0
A304,0
A305,0
A308,0
A309,0
A310,1
A311,0
A318,0
A319,0
A320,0
A321,0
A327,0
A328,0
A329,0
A33X,0
A34X,0
A35X,0
A360,0
A361,0
A362,0
A363,0
A368,0
A369,0
A370,0
A371,0
A378,0
A379,0
A38X,0
A390,0
A391,0
A392,0
A393,0
A394,0
A395,0
A398,0
A399,0
A400,0
A401,0
A402,0
A403,0
A408,0
A409,0
A410,0
A411,0
A412,0
A413,0
A414,0
A415,0
A418,0
A419,0
A420,1
A421,0
A422,0
A427,0
A428,0
A429,0
A430,1
A431,0
A438,0
A439,0
A440,0
A441,0
A448,0
A449,0
A46X,0
A480,0
A481,0
A482,0
A483,0
A484,0
A488,0
A490,0
A491,0
A492,0
A493,0
A498,0
A499,0
A500,0
A501,0
A502,0
A503,0
A504,0
A505,0
A506,0
A507,0
A509,0
A510,0
A511,0
A512,0
A513,0
A514,0
A515,0
A519,0
A520,0
A521,0
A522,0
A523,0
A527,0
A528,0
A529,0
A530,0
A539,0
A540,0
A541,0
A542,0
A543,0
A544,0
A545,0
A546,0
A548,0
A549,0
A55X,0
A560,0
A561,0
A562,0
A563,0
A564,0
A568,0
A57X,0
A58X,0
A590,0
A598,0
A599,0
A600,0
A601,0
A609,0
A630,0
A638,0
A64X,0
A65X,0
A660,0
A661,0
A662,0
A663,0
A664,0
A665,0
A666,0
A667,0
A668,0
A669,0
A670,0
A671,0
A672,0
A673,0
A679,0
A680,0
A681,0
A689,0
A690,0
A691,0
A692,0
A698,0
A699,0
A70X,0
A710,0
A711,0
A719,0
A740,0
A748,0
A749,0
A750,0
A751,0
A752,0
A753,0
A759,0
A770,0
A771,0
A772,0
A773,0
A778,0
A779,0
A78X,0
A790,0
A791,0
A798,0
A799,0
A800,0
A801,0
A802,0
A803,0
A804,0
A809,0
A810,0
A811,0
A812,0
A818,0
A819,0
A820,0
A821,0
A829,0
A830,0
A831,0
A832,0
A833,0
A834,0
A835,0
A836,0
A838,0
A839,0
A840,0
A841,0
A848,0
A849,0
A850,0
A851,0
A852,0
A858,0
A86X,0
A870,0
A871,0
A872,0
A878,0
A879,0
A880,0
A881,0
A888,0
A89X,0
A90X,0
A91X,0
A920,0
A921,0
A922,0
A923,0
A924,0
A928,0
A929,0
A930,0
A931,0
A932,0
A938,0
A94X,0
A950,0
A951,0
A959,0
A960,0
A961,0
A962,0
A968,0
A969,0
A980,0
A981,0
A982,0
A983,0
A984,0
A985,0
A988,0
A99X,0
B000,0
B001,0
B002,0
B003,0
B004,0
B005,0
B007,0
B008,0
B009,0
B010,0
B011,0
B012,1
B018,0
B019,0
B020,0
B021,0
B022,0
B023,0
B027,0
B028,0
B029,0
B03X,0
B04X,0
B050,0
B051,0
B052,1
B053,0
B054,0
B058,0
B059,0
B060,0
B068,0
B069,0
B07X,0
B080,0
B081,0
B082,0
B083,0
B084,0
B085,0
B088,0
B09X,0
